Year,Month,Location,Type,Employment
2009,April,Vermont,Transportation and warehousing,6227.0
2009,April,Vermont,Utilities,1688.0
2009,April,Vermont,Information supersector,5556.0
2009,April,Vermont,Financial Activities supersector,11988.0
2009,April,Vermont,Finance and insurance,9050.0
2009,April,Vermont,Real estate and rental and leasing,2938.0
2009,April,Vermont,Professional and Business Services supersector,21696.0
2009,April,Vermont,Professional and technical services,12999.0
2009,April,Vermont,Management of companies and enterprises,434.0
2009,April,Vermont,Administrative and waste services,8263.0
2009,April,Vermont,Education and Health Services supersector,55635.0
2009,April,Vermont,Educational services,9665.0
2009,April,Vermont,Health care and social assistance,45970.0
2009,April,Vermont,Leisure and Hospitality supersector,28545.0
2009,April,Vermont,"Arts, entertainment, and recreation",3281.0
2009,April,Vermont,Accommodation and food services,25264.0
2009,April,Vermont,"Other services, except public administration supersector",8535.0
2009,April,Vermont,Unspecified industry supersector,
2009,April,Vermont,Federal Government,7063.0
2009,April,Vermont,State government,16470.0
2009,April,Vermont,Local government,31578.0
2010,April,Vermont,Total Covered -  all ownerships,289919.0
2010,April,Vermont,Private ownership,234921.0
2010,April,Vermont,Goods Producing domain,46096.0
2010,April,Vermont,Natural Resources and Mining supersector,2964.0
2010,April,Vermont,"Agriculture, forestry, fishing and hunting",2362.0
2010,April,Vermont,Mining,602.0
2010,April,Vermont,Construction supersector,12800.0
2010,April,Vermont,Manufacturing supersector,30332.0
2010,April,Vermont,Durable Goods manufacturing,21423.0
2010,April,Vermont,Non-Durable Goods manufacturing,8909.0
2010,April,Vermont,Service Providing domain,188825.0
2010,April,Vermont,"Trade, Transportation, and Utilities supersector",54499.0
2010,April,Vermont,Wholesale trade,9345.0
2010,April,Vermont,Retail trade,37208.0
2010,April,Vermont,Transportation and warehousing,6145.0
2010,April,Vermont,Utilities,1801.0
2010,April,Vermont,Information supersector,5437.0
2010,April,Vermont,Financial Activities supersector,11759.0
2010,April,Vermont,Finance and insurance,8915.0
2010,April,Vermont,Real estate and rental and leasing,2844.0
2010,April,Vermont,Professional and Business Services supersector,23063.0
2010,April,Vermont,Professional and technical services,13646.0
2010,April,Vermont,Management of companies and enterprises,941.0
2010,April,Vermont,Administrative and waste services,8476.0
2010,April,Vermont,Education and Health Services supersector,56186.0
2010,April,Vermont,Educational services,9454.0
2010,April,Vermont,Health care and social assistance,46732.0
2010,April,Vermont,Leisure and Hospitality supersector,29375.0
2010,April,Vermont,"Arts, entertainment, and recreation",3312.0
2010,April,Vermont,Accommodation and food services,26063.0
2010,April,Vermont,"Other services, except public administration supersector",8506.0
2010,April,Vermont,Unspecified industry supersector,
2010,April,Vermont,Federal Government,7042.0
2010,April,Vermont,State government,16076.0
2010,April,Vermont,Local government,31880.0
2011,April,Vermont,Total Covered -  all ownerships,290419.0
2011,April,Vermont,Private ownership,236169.0
2011,April,Vermont,Goods Producing domain,45719.0
2011,April,Vermont,Natural Resources and Mining supersector,3072.0
2011,April,Vermont,"Agriculture, forestry, fishing and hunting",2474.0
2011,April,Vermont,Mining,598.0
2011,April,Vermont,Construction supersector,12167.0
2011,April,Vermont,Manufacturing supersector,30480.0
2011,April,Vermont,Durable Goods manufacturing,21300.0
2011,April,Vermont,Non-Durable Goods manufacturing,9180.0
2011,April,Vermont,Service Providing domain,190450.0
2011,April,Vermont,"Trade, Transportation, and Utilities supersector",54857.0
2011,April,Vermont,Wholesale trade,9465.0
2011,April,Vermont,Retail trade,37056.0
2011,April,Vermont,Transportation and warehousing,6558.0
2011,April,Vermont,Utilities,1778.0
2011,April,Vermont,Information supersector,4979.0
2011,April,Vermont,Financial Activities supersector,11648.0
2011,April,Vermont,Finance and insurance,8855.0
2011,April,Vermont,Real estate and rental and leasing,2793.0
2011,April,Vermont,Professional and Business Services supersector,24000.0
2011,April,Vermont,Professional and technical services,13623.0
2011,April,Vermont,Management of companies and enterprises,1377.0
2011,April,Vermont,Administrative and waste services,9000.0
2011,April,Vermont,Education and Health Services supersector,56654.0
